X,Y,Z,x,y,z
0.0,0.0,0.0,0,0,0
2.023,2.023,0.0,0,0,0
2.023,0.0,2.023,0,0,0
0.0,2.023,2.023,0,0,0
0.0,0.0,4.046,0,0,0
2.023,2.023,4.046,0,0,0
2.023,0.0,6.069000000000001,0,0,0
0.0,2.023,6.069000000000001,0,0,0
0.0,0.0,8.092,0,0,0
2.023,2.023,8.092,0,0,0
2.023,0.0,10.115,0,0,0
0.0,2.023,10.115,0,0,0
0.0,4.046,0.0,0,0,0
2.023,6.069000000000001,0.0,0,0,0
2.023,4.046,2.023,0,0,0
0.0,6.069000000000001,2.023,0,0,0
0.0,4.046,4.046,0,0,0
2.023,6.069000000000001,4.046,0,0,0
2.023,4.046,6.069000000000001,0,0,0
0.0,6.069000000000001,6.069000000000001,0,0,0
0.0,4.046,8.092,0,0,0
2.023,6.069000000000001,8.092,0,0,0
2.023,4.046,10.115,0,0,0
0.0,6.069000000000001,10.115,0,0,0
0.0,8.092,0.0,0,0,0
2.023,10.115,0.0,0,0,0
2.023,8.092,2.023,0,0,0
0.0,10.115,2.023,0,0,0
0.0,8.092,4.046,0,0,0
2.023,10.115,4.046,0,0,0
2.023,8.092,6.069000000000001,0,0,0
0.0,10.115,6.069000000000001,0,0,0
0.0,8.092,8.092,0,0,0
2.023,10.115,8.092,0,0,0
2.023,8.092,10.115,0,0,0
0.0,10.115,10.115,0,0,0
4.046,0.0,0.0,0,0,0
6.069000000000001,2.023,0.0,0,0,0
6.069000000000001,0.0,2.023,0,0,0
4.046,2.023,2.023,0,0,0
4.046,0.0,4.046,0,0,0
6.069000000000001,2.023,4.046,0,0,0
6.069000000000001,0.0,6.069000000000001,0,0,0
4.046,2.023,6.069000000000001,0,0,0
4.046,0.0,8.092,0,0,0
6.069000000000001,2.023,8.092,0,0,0
6.069000000000001,0.0,10.115,0,0,0
4.046,2.023,10.115,0,0,0
4.046,4.046,0.0,0,0,0
6.069000000000001,6.069000000000001,0.0,0,0,0
6.069000000000001,4.046,2.023,0,0,0
4.046,6.069000000000001,2.023,0,0,0
4.046,4.046,4.046,0,0,0
6.069000000000001,6.069000000000001,4.046,0,0,0
6.069000000000001,4.046,6.069000000000001,0,0,0
4.046,6.069000000000001,6.069000000000001,0,0,0
4.046,4.046,8.092,0,0,0
6.069000000000001,6.069000000000001,8.092,0,0,0
6.069000000000001,4.046,10.115,0,0,0
4.046,6.069000000000001,10.115,0,0,0
4.046,8.092,0.0,0,0,0
6.069000000000001,10.115,0.0,0,0,0
6.069000000000001,8.092,2.023,0,0,0
4.046,10.115,2.023,0,0,0
4.046,8.092,4.046,0,0,0
6.069000000000001,10.115,4.046,0,0,0
6.069000000000001,8.092,6.069000000000001,0,0,0
4.046,10.115,6.069000000000001,0,0,0
4.046,8.092,8.092,0,0,0
6.069000000000001,10.115,8.092,0,0,0
6.069000000000001,8.092,10.115,0,0,0
4.046,10.115,10.115,0,0,0
8.092,0.0,0.0,0,0,0
10.115,2.023,0.0,0,0,0
10.115,0.0,2.023,0,0,0
8.092,2.023,2.023,0,0,0
8.092,0.0,4.046,0,0,0
10.115,2.023,4.046,0,0,0
10.115,0.0,6.069000000000001,0,0,0
8.092,2.023,6.069000000000001,0,0,0
8.092,0.0,8.092,0,0,0
10.115,2.023,8.092,0,0,0
10.115,0.0,10.115,0,0,0
8.092,2.023,10.115,0,0,0
8.092,4.046,0.0,0,0,0
10.115,6.069000000000001,0.0,0,0,0
10.115,4.046,2.023,0,0,0
8.092,6.069000000000001,2.023,0,0,0
8.092,4.046,4.046,0,0,0
10.115,6.069000000000001,4.046,0,0,0
10.115,4.046,6.069000000000001,0,0,0
8.092,6.069000000000001,6.069000000000001,0,0,0
8.092,4.046,8.092,0,0,0
10.115,6.069000000000001,8.092,0,0,0
10.115,4.046,10.115,0,0,0
8.092,6.069000000000001,10.115,0,0,0
8.092,8.092,0.0,0,0,0
10.115,10.115,0.0,0,0,0
10.115,8.092,2.023,0,0,0
8.092,10.115,2.023,0,0,0
8.092,8.092,4.046,0,0,0
10.115,10.115,4.046,0,0,0
10.115,8.092,6.069000000000001,0,0,0
8.092,10.115,6.069000000000001,0,0,0
8.092,8.092,8.092,0,0,0
10.115,10.115,8.092,0,0,0
10.115,8.092,10.115,0,0,0
8.092,10.115,10.115,0,0,0
